distance_cm,distance_int,sent_message,received_message,timestamp
10.37,1037,CanalystMessage ID=0x1 TS=0x0 Data=0000040d00000000,[CanalystMessage ID=0x1 TS=0x43ffd47 Data=0000040d00000000],2024-07-04 16:09:49
10.37,1037,CanalystMessage ID=0x1 TS=0x0 Data=0000040d00000000,[CanalystMessage ID=0x1 TS=0x4402470 Data=0000040d00000000],2024-07-04 16:09:50
10.49,1049,CanalystMessage ID=0x1 TS=0x0 Data=0000041900000000,[CanalystMessage ID=0x1 TS=0x4404b95 Data=0000041900000000],2024-07-04 16:09:51
11.32,1132,CanalystMessage ID=0x1 TS=0x0 Data=0000046c00000000,[CanalystMessage ID=0x1 TS=0x44072be Data=0000046c00000000],2024-07-04 16:09:52
10.8,1080,CanalystMessage ID=0x1 TS=0x0 Data=0000043800000000,[CanalystMessage ID=0x1 TS=0x44099e3 Data=0000043800000000],2024-07-04 16:09:53
9.96,996,CanalystMessage ID=0x1 TS=0x0 Data=000003e400000000,[CanalystMessage ID=0x1 TS=0x440c100 Data=000003e400000000],2024-07-04 16:09:54
10.49,1049,CanalystMessage ID=0x1 TS=0x0 Data=0000041900000000,[CanalystMessage ID=0x1 TS=0x440e82f Data=0000041900000000],2024-07-04 16:09:55
10.37,1037,CanalystMessage ID=0x1 TS=0x0 Data=0000040d00000000,[CanalystMessage ID=0x1 TS=0x4410f58 Data=0000040d00000000],2024-07-04 16:09:56
10.39,1039,CanalystMessage ID=0x1 TS=0x0 Data=0000040f00000000,[CanalystMessage ID=0x1 TS=0x4413680 Data=0000040f00000000],2024-07-04 16:09:57
10.37,1037,CanalystMessage ID=0x1 TS=0x0 Data=0000040d00000000,[CanalystMessage ID=0x1 TS=0x4415da3 Data=0000040d00000000],2024-07-04 16:09:58
10.47,1047,CanalystMessage ID=0x1 TS=0x0 Data=0000041700000000,[CanalystMessage ID=0x1 TS=0x44184cc Data=0000041700000000],2024-07-04 16:09:59
10.37,1037,CanalystMessage ID=0x1 TS=0x0 Data=0000040d00000000,[CanalystMessage ID=0x1 TS=0x441abf1 Data=0000040d00000000],2024-07-04 16:10:00
10.39,1039,CanalystMessage ID=0x1 TS=0x0 Data=0000040f00000000,[CanalystMessage ID=0x1 TS=0x441d319 Data=0000040f00000000],2024-07-04 16:10:01
10.39,1039,CanalystMessage ID=0x1 TS=0x0 Data=0000040f00000000,[CanalystMessage ID=0x1 TS=0x441fa3e Data=0000040f00000000],2024-07-04 16:10:02
10.47,1047,CanalystMessage ID=0x1 TS=0x0 Data=0000041700000000,[CanalystMessage ID=0x1 TS=0x4422163 Data=0000041700000000],2024-07-04 16:10:03
10.8,1080,CanalystMessage ID=0x1 TS=0x0 Data=0000043800000000,[CanalystMessage ID=0x1 TS=0x442488d Data=0000043800000000],2024-07-04 16:10:04
10.8,1080,CanalystMessage ID=0x1 TS=0x0 Data=0000043800000000,[CanalystMessage ID=0x1 TS=0x4426fb7 Data=0000043800000000],2024-07-04 16:10:05
10.8,1080,CanalystMessage ID=0x1 TS=0x0 Data=0000043800000000,[CanalystMessage ID=0x1 TS=0x44296db Data=0000043800000000],2024-07-04 16:10:06
10.9,1090,CanalystMessage ID=0x1 TS=0x0 Data=0000044200000000,[CanalystMessage ID=0x1 TS=0x442be02 Data=0000044200000000],2024-07-04 16:10:07
10.85,1085,CanalystMessage ID=0x1 TS=0x0 Data=0000043d00000000,[CanalystMessage ID=0x1 TS=0x442e529 Data=0000043d00000000],2024-07-04 16:10:08
10.8,1080,CanalystMessage ID=0x1 TS=0x0 Data=0000043800000000,[CanalystMessage ID=0x1 TS=0x4430c50 Data=0000043800000000],2024-07-04 16:10:09
10.8,1080,CanalystMessage ID=0x1 TS=0x0 Data=0000043800000000,[CanalystMessage ID=0x1 TS=0x4433376 Data=0000043800000000],2024-07-04 16:10:10
10.47,1047,CanalystMessage ID=0x1 TS=0x0 Data=0000041700000000,[CanalystMessage ID=0x1 TS=0x4435a9c Data=0000041700000000],2024-07-04 16:10:11
10.9,1090,CanalystMessage ID=0x1 TS=0x0 Data=0000044200000000,[CanalystMessage ID=0x1 TS=0x44381c2 Data=0000044200000000],2024-07-04 16:10:12
10.8,1080,CanalystMessage ID=0x1 TS=0x0 Data=0000043800000000,[CanalystMessage ID=0x1 TS=0x443a8eb Data=0000043800000000],2024-07-04 16:10:13
10.8,1080,CanalystMessage ID=0x1 TS=0x0 Data=0000043800000000,[CanalystMessage ID=0x1 TS=0x443d011 Data=0000043800000000],2024-07-04 16:10:14
10.9,1090,CanalystMessage ID=0x1 TS=0x0 Data=0000044200000000,[CanalystMessage ID=0x1 TS=0x443f737 Data=0000044200000000],2024-07-04 16:10:15
10.9,1090,CanalystMessage ID=0x1 TS=0x0 Data=0000044200000000,[CanalystMessage ID=0x1 TS=0x4441e5f Data=0000044200000000],2024-07-04 16:10:16
10.37,1037,CanalystMessage ID=0x1 TS=0x0 Data=0000040d00000000,[CanalystMessage ID=0x1 TS=0x4444585 Data=0000040d00000000],2024-07-04 16:10:17
